Name,Phone,Email,Address,Pincode,Phone_Valid,Email_Valid,Address_Valid,Pincode_Valid,Confidence_Score,Needs_Manual_Review
Pmincy Ptgnmcn,9064500919,pmincy.ptgnmcn@example.com,463 Cqjdiswk Street,1547,True,True,True,False,100,False
Ibpscy Fgydkhd,9924684793,ibpscy.fgydkhd@example.com,54 Ucizenwb Street,338505,True,True,True,True,100,False
Xcdikh Xsjczyq,831772,invalid.email.com,438 Ydrixddv Street,950610,False,False,True,True,40,True
Ugknsm Spdyusq,9654872126,ugknsm.spdyusq@example.com,781 Loxudmnw Street,12a45,True,True,True,False,100,False
Wrpmiu Wzonibr,abc123,wrpmiu.wzonibr@example.com,814 Tfqdpyom Street,566669,False,True,True,True,70,False
Esrxhj Oiqzwbw,303236,esrxhj.oiqzwbw@example.com,396 Rdwkddtm Street,463703,False,True,True,True,70,False
Snihfu Penmcle,186697,invalid.email.com,435 Ibelbrlg Street,958029,False,False,True,True,40,True
Zjhixt Dthapoh,155240,zjhixt.dthapoh@example.com,264 Nwzghauh Street,283918,False,True,True,True,70,False
Bfodkn Fczpgop,9129083268,bfodkn.fczpgop@example.com,124 Irlvohox Street,12a45,True,True,True,False,100,False
,9085404566,unknown.user@example.com,629 Ftliqahq Street,611533,True,True,True,True,100,False
Aqhreb Rdaybev,9867840258,invalid.email.com,841 Wkwppdno Street,857451,True,False,True,True,70,False
Xfwiay Ygbhtad,359600,xfwiay.ygbhtad@example.com,421 Irixudmh Street,465186,False,True,True,True,70,False
Pmouky Hxkiusr,9328185236,invalid.email.com,227 Tgxvqxmd Street,673725,True,False,True,True,70,False
Hhfexg Gcgbgnz,9378380524,hhfexg.gcgbgnz@example.com,,740580,True,True,True,True,100,False
Tgmuhj Tcghaal,9270728381,tgmuhj.tcghaal@example.com,260 Gvjgusic Street,160679,True,True,True,True,100,False
Hxetpc Dtkxhdg,9893586338,hxetpc.dtkxhdg@example.com,,978429,True,True,True,True,100,False
Lsgqvb Vhlbysg,9584031919,lsgqvb.vhlbysg@example.com,,827488,True,True,True,True,100,False
Vyfrag Xpgvdik,9164865686,vyfrag.xpgvdik@example.com,432 Cxcsfzal Street,12a45,True,True,True,False,100,False
Kibvzz Soveelw,9314168934,kibvzz.soveelw@example.com,417 Qphxmckf Street,379050,True,True,True,True,100,False
Nngkgh Qadzylx,9024322070,invalid.email.com,979 Xagvzukq Street,12a45,True,False,True,False,70,False
Ehniif Uzloxuw,634062,invalid.email.com,753 Treqhkgk Street,152409,False,False,True,True,40,True
Jcjqza Luqgovj,9445830290,jcjqza.luqgovj@example.com,684 Ngejqdki Street,002754,True,True,True,True,100,False
Mfefwl Nuparyk,9621512261,invalid.email.com,342 Admorkrg Street,461626,True,False,True,True,70,False
Eukhcf Wrgdmuj,abc123,eukhcf.wrgdmuj@example.com,324 Hdxtjajs Street,794719,False,True,True,True,70,False
Zsqwum Jeeeglm,966963,zsqwum.jeeeglm@example.com,251 Xrdhhzkh Street,086826,False,True,True,True,70,False
Huwlru Vjtzcqg,abc123,huwlru.vjtzcqg@example.com,210 Jcayglwj Street,315476,False,True,True,True,70,False
,9401938428,unknown.user@example.com,811 Walwysfg Street,026118,True,True,True,True,100,False
Yrjyjl Iqvwevn,777495,yrjyjl.iqvwevn@example.com,427 Aglawckn Street,206782,False,True,True,True,70,False
Gurlza Zpoaggo,9599293547,gurlza.zpoaggo@example.com,962 Ldccxjsx Street,451985,True,True,True,True,100,False
Hrgbnf Cekgaxb,9725719229,hrgbnf.cekgaxb@example.com,850 Avkqspee Street,546988,True,True,True,True,100,False
Pjvjqe Rnpkssc,9180763134,pjvjqe.rnpkssc@example.com,827 Hbxhrmsf Street,2844,True,True,True,False,100,False
,9229429686,unknown.user@example.com,641 Wocqmagd Street,461136,True,True,True,True,100,False
Cfihim Pdhusqa,9627875623,cfihim.pdhusqa@example.com,57 Gnrpbcyn Street,010112,True,True,True,True,100,False
Erkota Hqewirg,627253,erkota.hqewirg@example.com,495 Cfqgziqt Street,6470,False,True,True,False,70,False
Mzirvj Kfzevob,abc123,mzirvj.kfzevob@example.com,831 Czaidzss Street,087040,False,True,True,True,70,False
Xxqfuh Rgfkwlj,9503713823,xxqfuh.rgfkwlj@example.com,378 Kqhawdsy Street,388434,True,True,True,True,100,False
Xabepd Diuowml,abc123,xabepd.diuowml@example.com,360 Ypetfkvb Street,289581,False,True,True,True,70,False
Yilekl Gsfwype,9260336768,yilekl.gsfwype@example.com,726 Qyyeahwk Street,12a45,True,True,True,False,100,False
Mbbzcj Kcsxddd,9016588241,mbbzcj.kcsxddd@example.com,898 Zgnyzgyg Street,9052,True,True,True,False,100,False
Qkztux Sozjfms,9529370583,qkztux.sozjfms@example.com,,059985,True,True,True,True,100,False
Tvjfbt Ixpndsv,9106983148,invalid.email.com,666 Krvwbzzl Street,12a45,True,False,True,False,70,False
Orvlqa Vrfboed,9352388714,orvlqa.vrfboed@example.com,471 Wkugivvz Street,12a45,True,True,True,False,100,False
Qnsfsj Jwqkeyg,9618000411,qnsfsj.jwqkeyg@example.com,918 Qjxmtcds Street,701696,True,True,True,True,100,False
Ckxisj Pudezgi,657097,ckxisj.pudezgi@example.com,784 Ygmtcntt Street,801016,False,True,True,True,70,False
Azunah Kqvowre,abc123,azunah.kqvowre@example.com,887 Qtebcsml Street,12a45,False,True,True,False,70,False
Fcrykx Lgeuekp,9908792755,invalid.email.com,370 Uqlrperu Street,437104,True,False,True,True,70,False
Krqhjk Acouzqr,9015277242,invalid.email.com,964 Wybdsljt Street,766090,True,False,True,True,70,False
Lnwens Gdytpvt,9520146342,lnwens.gdytpvt@example.com,,5022,True,True,True,False,100,False
Deiltc Qexplys,648834,deiltc.qexplys@example.com,146 Enpvajua Street,153594,False,True,True,True,70,False
Tvnetz Lhqhmta,9880580454,tvnetz.lhqhmta@example.com,528 Yyfupbyx Street,431203,True,True,True,True,100,False
Jbpqfx Cqjnawm,9646003456,jbpqfx.cqjnawm@example.com,815 Kwzbvmip Street,610091,True,True,True,True,100,False
Bvctem Yvxadtn,9446728135,bvctem.yvxadtn@example.com,441 Hcvezwqn Street,280881,True,True,True,True,100,False
,9199597750,unknown.user@example.com,364 Lnbxbquw Street,401594,True,True,True,True,100,False
,9061017830,unknown.user@example.com,523 Pydotbyn Street,3208,True,True,True,False,100,False
Mmljho Wwifllv,9904471467,mmljho.wwifllv@example.com,106 Gzaeviwq Street,817173,True,True,True,True,100,False
Ucrvsl Udmmyck,9180227025,ucrvsl.udmmyck@example.com,,113310,True,True,True,True,100,False
Zbwuld Wbdkvxj,282705,invalid.email.com,14 Ksmmbaue Street,698420,False,False,True,True,40,True
Yccdqm Mihpevr,9557160010,yccdqm.mihpevr@example.com,200 Acnnapep Street,602053,True,True,True,True,100,False
,9152333195,invalid.email.com,511 Welmdmfr Street,662573,True,False,True,True,70,False
,9549485937,unknown.user@example.com,779 Wxorjlxa Street,979974,True,True,True,True,100,False
Diqmpg Dxhfwew,9698877350,invalid.email.com,597 Pmffsbzw Street,319866,True,False,True,True,70,False
Ftmdte Kitwqmg,abc123,ftmdte.kitwqmg@example.com,619 Rdzbhfzh Street,628511,False,True,True,True,70,False
,502037,invalid.email.com,935 Ublirnxt Street,12a45,False,False,True,False,40,True
Pohgqr Zrvzswi,9788880157,pohgqr.zrvzswi@example.com,803 Szzgwfzt Street,788324,True,True,True,True,100,False
,9969340355,unknown.user@example.com,443 Tmcibwvw Street,12a45,True,True,True,False,100,False
Mkcllb Ryvemlm,9876399683,invalid.email.com,102 Pswkhsiz Street,240456,True,False,True,True,70,False
Hxxfrm Mnojtrr,9970405851,invalid.email.com,127 Lmecwxsj Street,12a45,True,False,True,False,70,False
Nfwnjp Ppubffs,681408,nfwnjp.ppubffs@example.com,961 Uiklwokr Street,263419,False,True,True,True,70,False
Hpofaw Awhhhqc,9351233580,hpofaw.awhhhqc@example.com,420 Aftmyhjv Street,617711,True,True,True,True,100,False
Lazgjg Agcunze,9663982545,invalid.email.com,979 Ebtkqfeb Street,894381,True,False,True,True,70,False
Exfrbe Cbidorf,9187880776,exfrbe.cbidorf@example.com,56 Bnyvmfdf Street,156339,True,True,True,True,100,False
Yivznu Nezfoty,9048572107,invalid.email.com,354 Wunpjsmm Street,113915,True,False,True,True,70,False
Gipjac Xzsvaop,9356644902,gipjac.xzsvaop@example.com,533 Vzfxdjav Street,337058,True,True,True,True,100,False
Tabjdu Vbkyiru,9529056983,invalid.email.com,481 Sbobuyhb Street,614134,True,False,True,True,70,False
Giajed Wovcjuo,094963,giajed.wovcjuo@example.com,154 Yxmajdjp Street,916923,False,True,True,True,70,False
Dukuis Vuthzpj,309515,dukuis.vuthzpj@example.com,558 Qeyulhmp Street,2368,False,True,True,False,70,False
Itmijv Mjczvpp,510915,invalid.email.com,711 Rnyigtqy Street,240910,False,False,True,True,40,True
,9047453373,unknown.user@example.com,111 Wyovgqzn Street,12a45,True,True,True,False,100,False
Ovdzjd Ovwvbhb,032570,ovdzjd.ovwvbhb@example.com,400 Bdsvoylu Street,821447,False,True,True,True,70,False
Zswzac Ntukuvs,9559457104,zswzac.ntukuvs@example.com,356 Iwegdadq Street,105590,True,True,True,True,100,False
Ayelwz Xwbxktr,9208963327,ayelwz.xwbxktr@example.com,,867461,True,True,True,True,100,False
Aepike Lmneczy,9854136044,invalid.email.com,12 Fkuiufrg Street,139320,True,False,True,True,70,False
Mfibyr Ywkvxxd,9786077776,mfibyr.ywkvxxd@example.com,462 Xauuehkz Street,197586,True,True,True,True,100,False
Aikuap Qqlyjte,abc123,aikuap.qqlyjte@example.com,552 Ycgyemgu Street,999347,False,True,True,True,70,False
Uiscld Fanifie,abc123,uiscld.fanifie@example.com,862 Geopbwpe Street,0636,False,True,True,False,70,False
Ytvmov Mylgzyw,9111085780,ytvmov.mylgzyw@example.com,615 Jdstpbgw Street,289567,True,True,True,True,100,False
Ifgadi Bmwebrg,199381,ifgadi.bmwebrg@example.com,605 Mxjdqzqu Street,0021,False,True,True,False,70,False
Kcxsrx Isbfigi,489431,kcxsrx.isbfigi@example.com,440 Vxgccbom Street,12a45,False,True,True,False,70,False
,abc123,unknown.user@example.com,214 Fjpzxsnh Street,779837,False,True,True,True,70,False
Cedbkq Uqzfthx,9231282686,cedbkq.uqzfthx@example.com,,098481,True,True,True,True,100,False
Gvnfkc Apqbxlp,abc123,invalid.email.com,91 Idxcaopc Street,958225,False,False,True,True,40,True
Paqdwk Bnxnmmm,9710963155,invalid.email.com,21 Qdvezqux Street,811841,True,False,True,True,70,False
Biejbq Jhpiowb,563411,invalid.email.com,830 Ehgkpeby Street,979055,False,False,True,True,40,True
Mqgwmx Bnnirnq,9525586836,invalid.email.com,519 Kswhmqqb Street,849344,True,False,True,True,70,False
Zlazfc Pfnfadj,9456856340,zlazfc.pfnfadj@example.com,534 Sjwziuyx Street,988307,True,True,True,True,100,False
Bmicon Qxropfz,9205491347,bmicon.qxropfz@example.com,606 Aqikmanc Street,929046,True,True,True,True,100,False
Sodfjp Xefjluu,060698,sodfjp.xefjluu@example.com,416 Hsjrpmdd Street,262242,False,True,True,True,70,False
Owsmuo Fbctyty,9342718671,owsmuo.fbctyty@example.com,859 Mlxsoecd Street,392203,True,True,True,True,100,False
Hzfinn Fibuiyz,9738688200,hzfinn.fibuiyz@example.com,126 Sbggvyrp Street,472846,True,True,True,True,100,False
Ukrfac Kizyzde,9925752704,ukrfac.kizyzde@example.com,951 Nklzgvqh Street,596743,True,True,True,True,100,False
Lflqhg Bfeudbf,890598,lflqhg.bfeudbf@example.com,968 Adullzqz Street,2141,False,True,True,False,70,False
Cktdii Ohsgsil,9793928788,cktdii.ohsgsil@example.com,239 Jlclqyar Street,241060,True,True,True,True,100,False
Irpwzu Ceqbhfm,9156382066,irpwzu.ceqbhfm@example.com,272 Xcyndzug Street,7932,True,True,True,False,100,False
Sqnmih Dwsyfej,9684307036,sqnmih.dwsyfej@example.com,66 Bflrdenw Street,8902,True,True,True,False,100,False
Dehsyx Hfpwmwu,066609,dehsyx.hfpwmwu@example.com,689 Wuryklaw Street,698245,False,True,True,True,70,False
Ymsfop Tmweirc,9158428847,invalid.email.com,386 Rwbikjxc Street,688263,True,False,True,True,70,False
Wxjjjp Znfefav,abc123,wxjjjp.znfefav@example.com,,745651,False,True,True,True,70,False
Zzjfdr Exbpkha,399832,invalid.email.com,99 Ikznlnrd Street,031820,False,False,True,True,40,True
Qvhwun Ojjnuud,642596,qvhwun.ojjnuud@example.com,435 Uxkmtatg Street,449530,False,True,True,True,70,False
Soekjq Hulayfj,9881156998,soekjq.hulayfj@example.com,162 Hdgfrfxt Street,514155,True,True,True,True,100,False
,9180273439,unknown.user@example.com,667 Lajkfmuj Street,171446,True,True,True,True,100,False
Fmpzoq Gquvpsq,9582328882,fmpzoq.gquvpsq@example.com,263 Mjfcloux Street,045325,True,True,True,True,100,False
Piumsn Qcngzvp,9043113082,piumsn.qcngzvp@example.com,763 Rkwekbnp Street,639907,True,True,True,True,100,False
Aavxwv Qivqdcv,abc123,aavxwv.qivqdcv@example.com,671 Qrwabbtf Street,561579,False,True,True,True,70,False
Fikwrn Scrlapc,498008,fikwrn.scrlapc@example.com,659 Jzsnyfcr Street,471116,False,True,True,True,70,False
Ndbfvp Vjpwiui,9819588476,ndbfvp.vjpwiui@example.com,316 Xafczsvm Street,024571,True,True,True,True,100,False
Ybkaly Noqyjuy,9048594725,ybkaly.noqyjuy@example.com,691 Tjugcprv Street,12a45,True,True,True,False,100,False
Syuccw Rnmxvil,9496290591,syuccw.rnmxvil@example.com,265 Qqreslba Street,12a45,True,True,True,False,100,False
Nbwvcn Vwoeftg,9082785052,nbwvcn.vwoeftg@example.com,47 Rrovazva Street,256096,True,True,True,True,100,False
Oagagt Uzjuvte,abc123,oagagt.uzjuvte@example.com,555 Tkykvyhp Street,831941,False,True,True,True,70,False
Eleoht Zfqamwg,9090370661,invalid.email.com,78 Kiqeqjjx Street,927938,True,False,True,True,70,False
Fkglrq Yxvwdxa,9210693411,fkglrq.yxvwdxa@example.com,907 Zzxtexvb Street,861968,True,True,True,True,100,False
Tkkjts Eyksfpd,9798933345,invalid.email.com,963 Deapomtl Street,286989,True,False,True,True,70,False
Ozubtq Kujcmxw,9002003266,ozubtq.kujcmxw@example.com,691 Ufhhrbju Street,3172,True,True,True,False,100,False
Dbojnu Rhsoigz,326429,dbojnu.rhsoigz@example.com,638 Iaiufurv Street,623424,False,True,True,True,70,False
Mdukqs Jqkmwfy,abc123,mdukqs.jqkmwfy@example.com,735 Wemlyzky Street,12a45,False,True,True,False,70,False
Hqudxg Idzfdgv,9030867043,hqudxg.idzfdgv@example.com,,209869,True,True,True,True,100,False
Rrcscz Qzgulrs,9119764485,rrcscz.qzgulrs@example.com,464 Kuvcszkf Street,062294,True,True,True,True,100,False
Nzqpis Syavvnq,9200075154,invalid.email.com,915 Znonqors Street,219585,True,False,True,True,70,False
,abc123,invalid.email.com,597 Tunvzhlj Street,7405,False,False,True,False,40,True
Xnidvs Hpemedj,abc123,xnidvs.hpemedj@example.com,977 Vidwxdly Street,12a45,False,True,True,False,70,False
Thciya Fygfudz,350274,thciya.fygfudz@example.com,363 Zdezmwvi Street,458499,False,True,True,True,70,False
Fedpss Myrehui,111665,fedpss.myrehui@example.com,260 Uvkumhsq Street,12a45,False,True,True,False,70,False
Ibwssa Bsizbqg,9632675844,ibwssa.bsizbqg@example.com,509 Bkjpzutd Street,212908,True,True,True,True,100,False
Ciyykw Kaqjvfm,9037946005,ciyykw.kaqjvfm@example.com,768 Mimvaqcf Street,753368,True,True,True,True,100,False
Ivxxgb Mqcrdyd,173890,ivxxgb.mqcrdyd@example.com,37 Hgzwtquq Street,2565,False,True,True,False,70,False
Bnoxit Lawwuda,abc123,bnoxit.lawwuda@example.com,846 Ggbhecor Street,518782,False,True,True,True,70,False
Tecacg Anijiws,9123980551,tecacg.anijiws@example.com,726 Otqfvvks Street,8041,True,True,True,False,100,False
,9395133100,unknown.user@example.com,593 Uvfzbyxr Street,8755,True,True,True,False,100,False
Sxgspb Brhvoir,9555915562,sxgspb.brhvoir@example.com,228 Niiiudti Street,6187,True,True,True,False,100,False
,9165967848,unknown.user@example.com,110 Yfdsqlrn Street,1869,True,True,True,False,100,False
Xvnipg Wqffpnt,abc123,xvnipg.wqffpnt@example.com,140 Lrustflz Street,433881,False,True,True,True,70,False
Bpjwos Sgzisml,9330423663,invalid.email.com,788 Qctckqew Street,4605,True,False,True,False,70,False
Rsdkll Ewgtinf,9433491192,rsdkll.ewgtinf@example.com,,4480,True,True,True,False,100,False
Ynbvtw Dgrukfk,9661267098,ynbvtw.dgrukfk@example.com,865 Hoyixovy Street,285827,True,True,True,True,100,False
Brmzhv Yfkyuot,abc123,brmzhv.yfkyuot@example.com,974 Vzrjdcir Street,297786,False,True,True,True,70,False
Gorbph Fscktzb,9468861375,gorbph.fscktzb@example.com,786 Gazbtnvi Street,799297,True,True,True,True,100,False
Ogzdhl Phuyzkj,578301,ogzdhl.phuyzkj@example.com,556 Wztgygxy Street,895139,False,True,True,True,70,False
Ojngkj Stzrzcm,9609303612,ojngkj.stzrzcm@example.com,628 Lyfqvwbm Street,12a45,True,True,True,False,100,False
Vqrfjs Qefacwz,9202534352,vqrfjs.qefacwz@example.com,753 Iuqeufrd Street,239933,True,True,True,True,100,False
Ekhggx Dhfqkvv,9764016586,invalid.email.com,885 Zfdphfvv Street,421399,True,False,True,True,70,False
Kjfeac Ktvlusq,9237984214,kjfeac.ktvlusq@example.com,,855634,True,True,True,True,100,False
Tzgobo Liaqtqh,9695818753,tzgobo.liaqtqh@example.com,912 Mbmzlzqd Street,678200,True,True,True,True,100,False
Gfbxej Cvmxzcp,9986142780,invalid.email.com,607 Fqfsocjf Street,12a45,True,False,True,False,70,False
Akveyo Iqoepgq,9941032962,invalid.email.com,27 Bhrhnvvz Street,096670,True,False,True,True,70,False
Taomyo Qbyospo,9909231188,taomyo.qbyospo@example.com,540 Lbsxzxny Street,055695,True,True,True,True,100,False
,9196906786,unknown.user@example.com,506 Xpzfmdak Street,735963,True,True,True,True,100,False
,9915101905,unknown.user@example.com,956 Rzatdtbx Street,206665,True,True,True,True,100,False
Brsjih Mwspdua,9840101978,brsjih.mwspdua@example.com,358 Cgrdwkbe Street,360314,True,True,True,True,100,False
Dmawix Mdvhkpy,9667957140,dmawix.mdvhkpy@example.com,167 Kzoifqfy Street,375527,True,True,True,True,100,False
Xnpjxh Zgglutn,9370762910,xnpjxh.zgglutn@example.com,53 Pnrvjqwk Street,682770,True,True,True,True,100,False
Zjzxil Cctsvoc,9892209754,zjzxil.cctsvoc@example.com,190 Pnvyoobh Street,378335,True,True,True,True,100,False
Qgkwwd Kfeylpa,9823403263,invalid.email.com,49 Scerhpsm Street,668222,True,False,True,True,70,False
Wmjoag Qwgwnzz,9576968094,wmjoag.qwgwnzz@example.com,321 Pddleetq Street,12a45,True,True,True,False,100,False
Gkjnjb Ujfafwj,9238523369,gkjnjb.ujfafwj@example.com,515 Hmcjcsrd Street,647652,True,True,True,True,100,False
Vqskyl Skblezi,9430721613,vqskyl.skblezi@example.com,117 Qiymaqaq Street,12a45,True,True,True,False,100,False
Wpxitd Psnjlvt,9968065294,wpxitd.psnjlvt@example.com,785 Cdbrqzez Street,8037,True,True,True,False,100,False
,9437171989,unknown.user@example.com,483 Xdeeodqr Street,102895,True,True,True,True,100,False
Yqgxfc Nzfvnke,9299016904,yqgxfc.nzfvnke@example.com,400 Lzgnpphh Street,809391,True,True,True,True,100,False
Pbtwjg Qtmwgen,9136158597,pbtwjg.qtmwgen@example.com,147 Ugqvmino Street,7240,True,True,True,False,100,False
Novagj Nzkuzdh,9454272900,novagj.nzkuzdh@example.com,278 Wjkmqzho Street,426673,True,True,True,True,100,False
Igjurb Mvsqwxw,abc123,invalid.email.com,335 Jnaskmlz Street,7622,False,False,True,False,40,True
Bfnhmt Raezkbb,616053,invalid.email.com,651 Kjkkafri Street,976193,False,False,True,True,40,True
Vqulsz Pvclcdm,abc123,vqulsz.pvclcdm@example.com,223 Gnkoctde Street,760572,False,True,True,True,70,False
Kvlchy Vjzlcfr,033628,invalid.email.com,828 Opmgwnrz Street,208717,False,False,True,True,40,True
Vxhrtq Hjvyvsh,9213836248,vxhrtq.hjvyvsh@example.com,,247966,True,True,True,True,100,False
Rfkbfx Xfdoyvr,abc123,rfkbfx.xfdoyvr@example.com,765 Dtmvupcm Street,129406,False,True,True,True,70,False
,9780250069,unknown.user@example.com,686 Ixqrumlj Street,782120,True,True,True,True,100,False
